trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/embedding_dim,config/num_layers,config/dropout_prob,config/num_heads,config/bidirectional,config/n_disc_steps,config/clip_value,config/optimizer,config/n_epochs
61475_00038,0.6931473612785339,1724172258,,True,5,2024-08-20_12-44-18,17.919095754623413,93.78011560440063,583907,WUSSYRD230001,172.27.161.222,93.78011560440063,5,"38_batch_size=128,bidirectional=True,clip_value=0.0020,dropout_prob=0.2500,embedding_dim=16,hidden_dim=16,lr_d=0.0007,lr_g=0.0001,n_disc_steps=1,num_heads=8,num_layers=3",6.133349217902638e-05,0.0007460437134068317,128,16,16,3,0.25,8,True,1,0.00200437211084716,rmsprop,25
61475_00039,0.6956263780593872,1724172531,,True,10,2024-08-20_12-48-51,26.545570135116577,269.96895599365234,584967,WUSSYRD230001,172.27.161.222,269.96895599365234,10,"39_batch_size=64,bidirectional=True,clip_value=0.0040,dropout_prob=0.2500,embedding_dim=32,hidden_dim=64,lr_d=0.0080,lr_g=0.0007,n_disc_steps=1,num_heads=8,num_layers=3",0.0006840863389033956,0.007996978581208816,64,64,32,3,0.25,8,True,1,0.003976763383696341,rmsprop,25
61475_00040,0.6947387456893921,1724173136,,True,5,2024-08-20_12-58-56,123.1354169845581,601.646790266037,587336,WUSSYRD230001,172.27.161.222,601.646790266037,5,"40_batch_size=32,bidirectional=False,clip_value=0.0025,dropout_prob=0.5000,embedding_dim=32,hidden_dim=128,lr_d=0.0095,lr_g=0.0048,n_disc_steps=5,num_heads=8,num_layers=2",0.00482533575053585,0.009518763759326174,32,128,32,2,0.5,8,False,5,0.0025077968501600223,rmsprop,25
61475_00041,0.6931487917900085,1724173206,,True,5,2024-08-20_13-00-06,17.99156951904297,92.98509430885315,591603,WUSSYRD230001,172.27.161.222,92.98509430885315,5,"41_batch_size=128,bidirectional=True,clip_value=0.0089,dropout_prob=0.2500,embedding_dim=16,hidden_dim=16,lr_d=0.0008,lr_g=0.0000,n_disc_steps=1,num_heads=4,num_layers=3",4.421820001078376e-05,0.0008411060412279562,128,16,16,3,0.25,4,True,1,0.00888739368080646,rmsprop,25
61475_00042,0.6933795809745789,1724173233,,True,5,2024-08-20_13-00-33,17.69883894920349,93.6986813545227,592098,WUSSYRD230001,172.27.161.222,93.6986813545227,5,"42_batch_size=128,bidirectional=False,clip_value=0.0024,dropout_prob=0.5000,embedding_dim=32,hidden_dim=32,lr_d=0.0015,lr_g=0.0112,n_disc_steps=1,num_heads=8,num_layers=2",0.011209669936824327,0.001537056805411057,128,32,32,2,0.5,8,False,1,0.0024107492023309864,rmsprop,25
61475_00043,0.6936328411102295,1724173483,,True,10,2024-08-20_13-04-43,27.181633949279785,273.4511606693268,593009,WUSSYRD230001,172.27.161.222,273.4511606693268,10,"43_batch_size=64,bidirectional=True,clip_value=0.0011,dropout_prob=0.5000,embedding_dim=32,hidden_dim=64,lr_d=0.0019,lr_g=0.0008,n_disc_steps=1,num_heads=2,num_layers=2",0.0007983771967548664,0.0019066001808150362,64,64,32,2,0.5,2,True,1,0.001083065870689152,rmsprop,25
61475_00044,0.6984528303146362,1724174363,,True,20,2024-08-20_13-19-23,56.13626456260681,1127.0121881961823,593498,WUSSYRD230001,172.27.161.222,1127.0121881961823,20,"44_batch_size=128,bidirectional=True,clip_value=0.0046,dropout_prob=0.5000,embedding_dim=32,hidden_dim=128,lr_d=0.0143,lr_g=0.0001,n_disc_steps=3,num_heads=8,num_layers=2",0.00014922360048686854,0.014255610844503256,128,128,32,2,0.5,8,True,3,0.004634963910851956,rmsprop,25
61475_00045,0.6939379572868347,1724173860,,True,5,2024-08-20_13-11-00,74.14905071258545,374.6554296016693,595584,WUSSYRD230001,172.27.161.222,374.6554296016693,5,"45_batch_size=32,bidirectional=False,clip_value=0.0013,dropout_prob=0.2500,embedding_dim=32,hidden_dim=128,lr_d=0.0154,lr_g=0.0007,n_disc_steps=3,num_heads=4,num_layers=2",0.0006572532198305444,0.015392949419748354,32,128,32,2,0.25,4,False,3,0.0013484703111774734,rmsprop,25
61475_00046,0.6931472420692444,1724173985,,True,5,2024-08-20_13-13-05,24.03616976737976,121.6669762134552,598316,WUSSYRD230001,172.27.161.222,121.6669762134552,5,"46_batch_size=64,bidirectional=False,clip_value=0.0054,dropout_prob=0.2500,embedding_dim=64,hidden_dim=16,lr_d=0.0001,lr_g=0.0007,n_disc_steps=1,num_heads=4,num_layers=3",0.0006994554565520223,0.00010313094894151335,64,16,64,3,0.25,4,False,1,0.0054112877498190765,rmsprop,25
61475_00047,0.6931764483451843,1724174256,,True,5,2024-08-20_13-17-36,53.02196788787842,267.419114112854,599496,WUSSYRD230001,172.27.161.222,267.419114112854,5,"47_batch_size=64,bidirectional=False,clip_value=0.0053,dropout_prob=0.5000,embedding_dim=64,hidden_dim=16,lr_d=0.0001,lr_g=0.0175,n_disc_steps=3,num_heads=2,num_layers=3",0.017548733095926843,0.00011676620217733715,64,16,64,3,0.5,2,False,3,0.005252131439632923,rmsprop,25
61475_00048,0.6931731700897217,1724174974,,True,5,2024-08-20_13-29-34,141.22798824310303,715.3423566818237,601565,WUSSYRD230001,172.27.161.222,715.3423566818237,5,"48_batch_size=32,bidirectional=True,clip_value=0.0029,dropout_prob=0.2500,embedding_dim=32,hidden_dim=128,lr_d=0.0004,lr_g=0.0061,n_disc_steps=5,num_heads=8,num_layers=2",0.006059647531142533,0.000442592475391983,32,128,32,2,0.25,8,True,5,0.0029463304187168924,rmsprop,25
61475_00049,0.6924799680709839,1724177643,,True,25,2024-08-20_14-14-03,131.11125206947327,3276.1938586235046,602480,WUSSYRD230001,172.27.161.222,3276.1938586235046,25,"49_batch_size=32,bidirectional=False,clip_value=0.0018,dropout_prob=0.5000,embedding_dim=64,hidden_dim=128,lr_d=0.0168,lr_g=0.0040,n_disc_steps=5,num_heads=8,num_layers=2",0.004022206481940299,0.016751912065797427,32,128,64,2,0.5,8,False,5,0.0017620927707731385,rmsprop,25
61475_00050,0.6931470632553101,1724176080,,True,20,2024-08-20_13-48-00,55.252668142318726,1102.9460742473602,606644,WUSSYRD230001,172.27.161.222,1102.9460742473602,20,"50_batch_size=64,bidirectional=True,clip_value=0.0065,dropout_prob=0.2500,embedding_dim=32,hidden_dim=64,lr_d=0.0019,lr_g=0.0000,n_disc_steps=3,num_heads=4,num_layers=3",3.2684437098173785e-05,0.0019422185771888008,64,64,32,3,0.25,4,True,3,0.0064733693167821505,rmsprop,25
61475_00051,0.6920425295829773,1724178789,,True,25,2024-08-20_14-33-09,109.46536564826965,2706.06153011322,614259,WUSSYRD230001,172.27.161.222,2706.06153011322,25,"51_batch_size=32,bidirectional=False,clip_value=0.0021,dropout_prob=0.5000,embedding_dim=64,hidden_dim=16,lr_d=0.0130,lr_g=0.0015,n_disc_steps=5,num_heads=8,num_layers=3",0.0014915718587823015,0.013040133915108798,32,16,64,3,0.5,8,False,5,0.0021365369300353977,rmsprop,25
61475_00052,0.6942825317382812,1724178230,,True,5,2024-08-20_14-23-50,116.56105422973633,584.12073969841,624588,WUSSYRD230001,172.27.161.222,584.12073969841,5,"52_batch_size=32,bidirectional=False,clip_value=0.0024,dropout_prob=0.2500,embedding_dim=64,hidden_dim=16,lr_d=0.0117,lr_g=0.0001,n_disc_steps=5,num_heads=2,num_layers=3",6.100745173091817e-05,0.011722877763540657,32,16,64,3,0.25,2,False,5,0.0023585220871571973,rmsprop,25
61475_00053,0.6932456493377686,1724178625,,True,5,2024-08-20_14-30-25,78.02542161941528,391.6913788318634,628657,WUSSYRD230001,172.27.161.222,391.6913788318634,5,"53_batch_size=32,bidirectional=True,clip_value=0.0055,dropout_prob=0.2500,embedding_dim=64,hidden_dim=32,lr_d=0.0018,lr_g=0.0000,n_disc_steps=3,num_heads=2,num_layers=2",2.5074434619125873e-05,0.001848979562790193,32,32,64,2,0.25,2,True,3,0.005506469750955172,rmsprop,25
61475_00054,0.6931572556495667,1724178842,,True,5,2024-08-20_14-34-02,42.22441554069519,213.2485625743866,631554,WUSSYRD230001,172.27.161.222,213.2485625743866,5,"54_batch_size=128,bidirectional=False,clip_value=0.0083,dropout_prob=0.5000,embedding_dim=64,hidden_dim=16,lr_d=0.0001,lr_g=0.0012,n_disc_steps=3,num_heads=4,num_layers=2",0.0011681612250072678,5.233131644155016e-05,128,16,64,2,0.5,4,False,3,0.00826933262904928,rmsprop,25
61475_00055,0.6940954923629761,1724179364,,True,5,2024-08-20_14-42-44,114.18566179275513,572.1043102741241,632928,WUSSYRD230001,172.27.161.222,572.1043102741241,5,"55_batch_size=64,bidirectional=True,clip_value=0.0023,dropout_prob=0.5000,embedding_dim=64,hidden_dim=128,lr_d=0.0031,lr_g=0.0004,n_disc_steps=5,num_heads=2,num_layers=3",0.00038092604574117774,0.0031225114014055986,64,128,64,3,0.5,2,True,5,0.0022612917961401914,rmsprop,25
61475_00056,0.6931855082511902,1724180039,,True,10,2024-08-20_14-53-59,119.66750717163086,1194.3064725399017,633558,WUSSYRD230001,172.27.161.222,1194.3064725399017,10,"56_batch_size=64,bidirectional=True,clip_value=0.0015,dropout_prob=0.5000,embedding_dim=16,hidden_dim=128,lr_d=0.0002,lr_g=0.0013,n_disc_steps=5,num_heads=4,num_layers=3",0.001324573454923872,0.00015688007787335905,64,128,16,3,0.5,4,True,5,0.0014861761472090256,rmsprop,25
61475_00057,0.6934334635734558,1724179731,,True,5,2024-08-20_14-48-51,71.72792792320251,363.59691047668457,636947,WUSSYRD230001,172.27.161.222,363.59691047668457,5,"57_batch_size=32,bidirectional=False,clip_value=0.0070,dropout_prob=0.5000,embedding_dim=64,hidden_dim=16,lr_d=0.0013,lr_g=0.0002,n_disc_steps=3,num_heads=2,num_layers=3",0.00024567436778024504,0.0012628855970511393,32,16,64,3,0.5,2,False,3,0.007045633263959253,rmsprop,25
61475_00058,0.6942534446716309,1724180114,,True,5,2024-08-20_14-55-14,74.43052983283997,379.6285603046417,639501,WUSSYRD230001,172.27.161.222,379.6285603046417,5,"58_batch_size=32,bidirectional=False,clip_value=0.0018,dropout_prob=0.5000,embedding_dim=32,hidden_dim=128,lr_d=0.0068,lr_g=0.0006,n_disc_steps=3,num_heads=8,num_layers=3",0.0005976928494549393,0.006751750040227079,32,128,32,3,0.5,8,False,3,0.001805258884499291,rmsprop,25
61475_00059,0.6932106614112854,1724180260,,True,5,2024-08-20_14-57-40,42.77389073371887,218.62203073501587,641655,WUSSYRD230001,172.27.161.222,218.62203073501587,5,"59_batch_size=128,bidirectional=False,clip_value=0.0086,dropout_prob=0.2500,embedding_dim=64,hidden_dim=16,lr_d=0.0002,lr_g=0.0012,n_disc_steps=3,num_heads=8,num_layers=2",0.0011726145136594403,0.0002494997050780254,128,16,64,2,0.25,8,False,3,0.008574597779539563,rmsprop,25
