trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/optimizer,config/n_disc_steps,config/clip_value
49042_00045,0.6945285797119141,1723782475,,True,1,2024-08-16_00-27-55,60.78748941421509,60.78748941421509,170315,WUSSYRD230001,172.27.161.222,60.78748941421509,1,"45_batch_size=256,clip_value=0.0082,hidden_dim=16,lr_d=0.0001,lr_g=0.0008,n_disc_steps=1,optimizer=adam",0.000799890213114587,6.965810487140638e-05,256,16,adam,1,0.0082220085234542
49042_00046,0.6931489109992981,1723782554,,True,1,2024-08-16_00-29-14,75.93743634223938,75.93743634223938,171121,WUSSYRD230001,172.27.161.222,75.93743634223938,1,"46_batch_size=384,clip_value=0.0036,hidden_dim=128,lr_d=0.0006,lr_g=0.0013,n_disc_steps=1,optimizer=adam",0.0013059437881174914,0.0006037395762877546,384,128,adam,1,0.0035802629138914767
49042_00047,0.6931473016738892,1723782711,,True,1,2024-08-16_00-31-51,154.6921923160553,154.6921923160553,172047,WUSSYRD230001,172.27.161.222,154.6921923160553,1,"47_batch_size=64,clip_value=0.0072,hidden_dim=32,lr_d=0.0004,lr_g=0.0000,n_disc_steps=3,optimizer=adam",2.2940637729822903e-05,0.0003813540714488023,64,32,adam,3,0.0072045824704621226
49042_00048,0.6943283081054688,1723782903,,True,1,2024-08-16_00-35-03,188.02745962142944,188.02745962142944,173589,WUSSYRD230001,172.27.161.222,188.02745962142944,1,"48_batch_size=128,clip_value=0.0022,hidden_dim=32,lr_d=0.0165,lr_g=0.0002,n_disc_steps=5,optimizer=rmsprop",0.00018164342283976214,0.01652553507723673,128,32,rmsprop,5,0.0022271250318121796
49042_00049,0.6931472420692444,1723782798,,True,1,2024-08-16_00-33-18,73.73659253120422,73.73659253120422,173973,WUSSYRD230001,172.27.161.222,73.73659253120422,1,"49_batch_size=64,clip_value=0.0033,hidden_dim=32,lr_d=0.0000,lr_g=0.0005,n_disc_steps=1,optimizer=adam",0.00046930551551802095,4.579161658093829e-05,64,32,adam,1,0.00329450111550267
49042_00050,0.6931467056274414,1723782923,,True,1,2024-08-16_00-35-23,121.86656999588013,121.86656999588013,174881,WUSSYRD230001,172.27.161.222,121.86656999588013,1,"50_batch_size=128,clip_value=0.0026,hidden_dim=64,lr_d=0.0004,lr_g=0.0000,n_disc_steps=3,optimizer=adam",2.9785351808877295e-05,0.00041411476049891567,128,64,adam,3,0.002635204527623299
49042_00051,0.6900933980941772,1723783103,,True,1,2024-08-16_00-38-23,197.39489555358887,197.39489555358887,175989,WUSSYRD230001,172.27.161.222,197.39489555358887,1,"51_batch_size=384,clip_value=0.0095,hidden_dim=64,lr_d=0.0111,lr_g=0.0006,n_disc_steps=5,optimizer=rmsprop",0.0006080844264177767,0.01109674872634158,384,64,rmsprop,5,0.009537566905495664
49042_00052,0.6932921409606934,1723783177,,True,1,2024-08-16_00-39-37,251.21758913993835,251.21758913993835,176454,WUSSYRD230001,172.27.161.222,251.21758913993835,1,"52_batch_size=32,clip_value=0.0021,hidden_dim=128,lr_d=0.0029,lr_g=0.0004,n_disc_steps=3,optimizer=rmsprop",0.0003561785579543125,0.002859072232298922,32,128,rmsprop,3,0.002066852217844401
49042_00053,0.6931537389755249,1723783180,,True,1,2024-08-16_00-39-40,74.23548102378845,74.23548102378845,178142,WUSSYRD230001,172.27.161.222,74.23548102378845,1,"53_batch_size=384,clip_value=0.0068,hidden_dim=128,lr_d=0.0022,lr_g=0.0001,n_disc_steps=1,optimizer=adam",0.00013497293098774506,0.00215665891876936,384,128,adam,1,0.0068005590720705954
49042_00054,0.6931468844413757,1723783265,,True,1,2024-08-16_00-41-05,84.58621668815613,84.58621668815613,179026,WUSSYRD230001,172.27.161.222,84.58621668815613,1,"54_batch_size=32,clip_value=0.0064,hidden_dim=32,lr_d=0.0000,lr_g=0.0011,n_disc_steps=1,optimizer=rmsprop",0.0011414793221728497,3.313695961508626e-05,32,32,rmsprop,1,0.00643591279168623
49042_00055,0.6931470036506653,1723783379,,True,1,2024-08-16_00-42-59,195.90812277793884,195.90812277793884,179121,WUSSYRD230001,172.27.161.222,195.90812277793884,1,"55_batch_size=384,clip_value=0.0020,hidden_dim=64,lr_d=0.0000,lr_g=0.0001,n_disc_steps=5,optimizer=rmsprop",8.547632290588139e-05,2.226579136078255e-05,384,64,rmsprop,5,0.00196983992673115
49042_00056,0.6929064393043518,1723783446,,True,1,2024-08-16_00-44-06,177.89017963409424,177.89017963409424,180337,WUSSYRD230001,172.27.161.222,177.89017963409424,1,"56_batch_size=256,clip_value=0.0086,hidden_dim=128,lr_d=0.0009,lr_g=0.0009,n_disc_steps=3,optimizer=rmsprop",0.0009309510579834839,0.0008927348044930869,256,128,rmsprop,3,0.008569150285580649
49042_00057,0.693146288394928,1723783454,,True,1,2024-08-16_00-44-14,71.82005453109741,71.82005453109741,181519,WUSSYRD230001,172.27.161.222,71.82005453109741,1,"57_batch_size=384,clip_value=0.0031,hidden_dim=128,lr_d=0.0004,lr_g=0.0104,n_disc_steps=1,optimizer=rmsprop",0.01041515723866668,0.0004033199231520669,384,128,rmsprop,1,0.0031011510078440474
